" Date","AGN Open","AGN Low","AGN High","AGN Close","AGN Adj. Close"
08-19-2014,"206.46 ","205.94 ","211.28 ","223.08 ","210.70 "
08-18-2014,"204.49 ","203.70 ","205.96 ","218.07 ","205.96 "
08-15-2014,"202.23 ","202.04 ","206.16 ","215.43 ","203.47 "
08-14-2014,"195.65 ","195.52 ","201.56 ","212.64 ","200.84 "
08-13-2014,"193.62 ","192.85 ","197.05 ","206.97 ","195.48 "
08-12-2014,"191.27 ","190.70 ","193.47 ","203.16 ","191.88 "
08-11-2014,"194.76 ","190.88 ","195.09 ","202.72 ","191.47 "
08-08-2014,"192.85 ","191.27 ","194.51 ","205.79 ","194.37 "
08-07-2014,"194.95 ","191.84 ","195.99 ","203.94 ","192.62 "
08-06-2014,"200.24 ","192.78 ","200.40 ","206.51 ","195.05 "
08-05-2014,"200.50 ","197.03 ","205.47 ","214.67 ","202.75 "
08-04-2014,"207.18 ","201.39 ","207.44 ","215.77 ","203.79 "
08-01-2014,"202.00 ","201.56 ","205.89 ","216.89 ","204.85 "
07-31-2014,"201.31 ","199.08 ","202.88 ","214.26 ","202.37 "
07-30-2014,"203.64 ","202.83 ","204.54 ","215.55 ","203.58 "
07-29-2014,"202.94 ","201.48 ","203.97 ","214.85 ","202.92 "
07-28-2014,"205.95 ","202.26 ","206.14 ","214.94 ","203.01 "
07-25-2014,"206.04 ","204.86 ","207.40 ","217.45 ","205.38 "
07-24-2014,"207.23 ","205.57 ","207.55 ","218.68 ","206.54 "
07-23-2014,"205.75 ","205.56 ","207.99 ","219.63 ","207.44 "
07-22-2014,"205.03 ","203.98 ","206.34 ","216.37 ","204.36 "
07-21-2014,"205.11 ","203.71 ","206.06 ","216.13 ","204.13 "
07-18-2014,"202.59 ","202.35 ","206.47 ","218.18 ","206.07 "
07-17-2014,"205.10 ","201.38 ","205.89 ","213.66 ","201.80 "
07-16-2014,"207.99 ","204.67 ","208.01 ","217.93 ","205.83 "
07-15-2014,"208.15 ","205.11 ","208.82 ","218.97 ","206.81 "
07-14-2014,"207.26 ","205.56 ","209.21 ","220.59 ","208.34 "
07-11-2014,"204.70 ","203.14 ","205.70 ","217.65 ","205.57 "
07-10-2014,"201.62 ","201.44 ","205.10 ","216.52 ","204.50 "
07-09-2014,"205.02 ","203.00 ","205.69 ","217.28 ","205.22 "
07-08-2014,"208.05 ","201.31 ","208.55 ","216.89 ","204.85 "
